titles,category
allometry of lycomedes reichei breme       and allied species,생물학
species diversity  relative abundance  and decline of flying insects in a fragmented forest in futa akure  ondo state  nigeria,생물학
study of major insect pests on rice and corn in four provinces in red river delta of vietnam during           ,생물학
coffee production and coffee berry borer  hypothenemus hampei  condition in indonesia related to climate change effect,생물학
banana peel extracts enhance climbing ability and extend lifespan in drosophila melanogaster,생물학
actin depolymerizing factor destrin regulates cilia development and function during vertebrate embryogenesis,생물학
사천 곤양천하구습지의 생태적 특성과 관리방안,생물학
내성천 식생사주의 공간적 분포 유형과 평면 기하 특성,생물학
기수호의 지하수 지표수 혼합대 내 질소 거동 분석,생물학
부유사에 의한 하천 저서성 무척추동물의 영향 평가   조각깔따구 대상의 실험  ,생물학
하천의 사주 형성과 하도 수림화 및 육역화 관리방안에 관한 연구   한강 장항습지를 중심으로  ,생물학
농약 중독으로부터 구조  회복된 국내 월동 참수리 haliaeetus pelagicus 의 봄철 이동 사례,생물학
장항 송림 비소오염토양의 식물재배정화를 위한 식물종 선정,생물학
autotaxin expression in the uterus of cycling rats,생물학
effect of salinity and salmon pituitary extract on the expression of reproduction and or salinity related genes in the pituitary cells of japaneses eel,생물학
characteristics of morphological changes in fins according to larval growth of red spotted grouper  epinephelus akaara,생물학
인공시공간영상을 이용한 시공간영상분석법의 정확도 평가와 혼합분석법의 제안,생물학
조류에서 발생하는 fault bars에 관한 고찰,생물학
큰기러기의 갈참나무 도토리 섭식에 대한 국내 첫 보고,생물학
재해영향평가 적용 확률강우량의 적정성에 관한 연구  제주도를 중심으로 ,생물학
오대산 전나무숲에 번식하는 나무발발이 certhia familiaris 의 영소목 선택과 둥지 특성,생물학
국립수목원 전시원 내 인공새집 이용 조류의 둥지재료 특성 연구,생물학
독립이중관찰자법을 적용한 영양군 자작나무숲의 조류 발견율 추정,생물학
낙동강 대저생태공원 외래어종 관리를 위한 배스 이동경로 모니터링 연구,생물학
피마자유기반 바이오폴리머와 골재를 혼합한 어도의 어류이동효율 실험연구,생물학
function of alpha tubulin folding protein alf  in caffeine tolerance and genomic stability in saccharomyces cerevisiae,생물학
optimization of cryoprotectants for improved survival rates of animal probiotics lactobacillus plantarum  bacillus subtilis  and saccharomyces cerevisiae,생물학
complete genome sequence of the plant growth promoting bacterium burkholderia cepacia jk   isolated from a lily bulb,생물학
complete genome sequence of staphylococcus aureus   ebsta     isolated from stream water  south korea,생물학
complete genome of seonamhaeicola sp  mebic      isolated from eisenia bicyclis,생물학
lactobacillus acidophilus kbl   의 요독물질 감소 효과,생물학
분열효모에서 nab  합성치사 돌연변이를 상보하는 sr 단백질이 mrna 방출에 미치는 영향,생물학
complete genome sequence of sphingobacterium sp  srcm        a high vancomycin resistant bacterium  isolated from rice paddy soil,생물학
genome analysis of the extremely halophilic archaeon  halolamina sediminis halo   isolated from brine sediment of solar saltern,생물학
complete genome of microcystis aeruginosa fbcc a   isolated from wetland  south korea,생물학
