titles,category
베를렌의 발라드 연구,인문학
앙드레 말로의  반회고록 에서 보편논쟁의 재점화와 보편자 재현의 재수록,인문학
예이츠의 후기 시에 담긴 장자의 사상,인문학
    년 창장     대수재 이후 재난에 대한 인식과 난징    국민정부의 대응,인문학
헨리 매컬리 h  d  mccallie 의 도서     선교,인문학
롤랑 바르트의 문장학 혹은 문장사전,인문학
제주 지역 개신교의 선교 현황과 특징 그리고 과제   사회학적 관점,인문학
                                     ,인문학
                         ,인문학
                           ,인문학
                                                                ,인문학
an interdisciplinary model for international education exchange  integrating critical global citizenship and english as a lingua franca,인문학
gearing up  empowering underachievers to transition from primary to secondary english learning,인문학
characteristics of reading aloud performance and its association with raters  judgment in korean middle school english language learners ,인문학
           아 어 보다  a  eo boda                               ,인문학
아니 에르노의  사건   증언이 되는 고백  고백이 되는 증언,인문학
베케트의  와트 에 나타난 실패의 문제,인문학
알레고리 개념의 두 가지 원류에 관한 소고,인문학
프랑스어 동사  tre의 음성 변화와 어휘 형성   직설법 현재를 중심으로,인문학
인천 서구 공촌천 돌싸움의 양상과 성격,인문학
미국 남장로회 한국선교회 전주선교지부 연구 현황과 과제,인문학
미국 남장로교의 목포스테이션 연구 현황과 과제,인문학
bridging digital skills and teaching aspirations  a study of prospective english teachers,인문학
korean in service teachers  perspectives on ai integration in the revised english curriculum,인문학
영어과 기초학력 보장을 위한      교육과정 최소한의 성취기준 개발 연구,인문학
자료를 통해 살펴보는 식민지 사회의 전시 통제 경제,인문학
아시아태평양전쟁과 한국전쟁기 전쟁의 경험과 기억을 탐구하다,인문학
emerging trends and challenges for a new generation of korean language learners in thailand,인문학
at the crossroad between community and additional language  the case of korean language education in australia,인문학
what is hegel s philosophy of nature for ,인문학
is satan the ultimate cause of unbelief in paul  s mission  paul  s view of satan  s power in   cor       and its missional implications,인문학
research trends of korean language education overseas in korea,인문학
고려시대 장인    의 지위와 사기장 심룡    ,인문학
서울 호암산성 체성 및 제 우물지 축조수법 연구,인문학
조선 왕실의 도자     명기    와 부장,인문학
조선시대 궁궐 정문 시설물에 대한 고찰,인문학
세친 오위설의 체계와 그 의미,인문학
  세기 조선의 불교와 불교의식  하멜보고서 를 중심으로,인문학
고려시대 선밀쌍수의 전개 양상 고찰 주선종밀      을 중심으로,인문학
샤를르 달레의 한국천주교회사 에 비친 조선 후기 불교,인문학
  세기 서남해 지역 수적     출현의 사회적 배경과 활동,인문학
임자도의 새로운  장소성 으로서 의미와 개발 방향   조희룡 유배지를 중심으로  ,인문학
로잔운동과 다중심적 polycentric  선교환경변화 연구,인문학
삼자애국운동의 관점에서 바라본 당 국가 통전구조변화의 함의  시진핑 시기 종교사무국의 위치변화를 중심으로,인문학
three self movement  chinese three self patriotic movement committee  china state council of religious affairs  china state bureau of religious affairs,인문학
